City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,maham,28.9833,76.3,301.45,45,0,0.77,IN,1693776496
85,chateaubelair,13.2833,-61.25,302.44,79,20,3.09,VC,1693776496
86,arlit,18.7369,7.3853,309.48,28,61,1.19,NE,1693775960
87,chapais,49.7834,-74.8492,302.03,41,18,5.05,CA,1693776412
88,dunedin,-45.8742,170.5036,285.41,84,25,4.02,NZ,1693776496
89,lata,40.1629,-8.3327,294.22,72,53,1.98,PT,1693775951
90,dudinka,69.4058,86.1778,276.83,92,100,4.15,RU,1693775907
91,karsava,56.7841,27.6883,285.69,80,62,1.34,LV,1693776498
92,jamestown,42.097,-79.2353,302.29,65,0,4.63,US,1693776211
93,juneau,58.3019,-134.4197,289.15,84,75,2.06,US,1693776494
94,klaksvik,62.2266,-6.589,284.66,85,0,9.8,FO,1693775918
95,saint-philippe,-21.3585,55.7679,292.92,82,48,6.28,RE,1693775900
96,ribeira grande,38.5167,-28.7,297.47,90,88,1.79,PT,1693775908
97,san luis,-33.295,-66.3356,284.72,69,90,7.31,AR,1693776499
98,topeka,39.0483,-95.678,310.66,28,0,7.2,US,1693776499
99,hobart,-42.8794,147.3294,279.85,84,20,1.54,AU,1693775909
100,port elizabeth,-33.918,25.5701,289.31,82,75,5.66,ZA,1693775949
101,cidreira,-30.1811,-50.2056,290.83,98,100,6.93,BR,1693776499
102,zamosc,50.7231,23.252,287.21,76,64,3.22,PL,1693776499
103,hilo,19.7297,-155.09,303.31,68,40,2.24,US,1693776500
104,margate,51.3813,1.3862,291.65,90,84,0.89,GB,1693775956
105,fortuna,40.5982,-124.1573,294.78,72,100,5.14,US,1693775920
106,roebourne,-20.7833,117.1333,292.18,50,92,4.15,AU,1693776500
107,bengkulu,-3.8004,102.2655,295.15,88,18,3.39,ID,1693775909
108,kondopoga,62.2057,34.2614,283.97,96,20,1.14,RU,1693776501
109,bendigo,-36.7667,144.2833,281.84,82,4,3.96,AU,1693776391
110,kodiak,57.79,-152.4072,286.88,72,100,2.57,US,1693775921
111,rio grande,-32.035,-52.0986,290.21,98,100,3.58,BR,1693776501
112,kaitangata,-46.2817,169.8464,281.41,87,19,2.23,NZ,1693775931
113,constitucion,-35.3333,-72.4167,284.75,90,100,2.8,CL,1693775959
114,machali,-34.1833,-70.6667,287.75,72,75,1.54,CL,1693776501
115,lebu,-37.6167,-73.65,282.32,66,100,5.43,CL,1693776502
116,fano,43.8204,13.0121,297.03,78,100,1.45,IT,1693776502
117,longyearbyen,78.2186,15.6401,278.06,87,75,2.57,SJ,1693775919
118,vardo,70.3705,31.1107,286.14,88,100,4.12,NO,1693775974
119,la ronge,55.1001,-105.2842,289.29,72,100,0.0,CA,1693776413
120,maralik,40.5745,43.8686,290.9,72,7,11.83,AM,1693776503
121,gbarnga,6.9956,-9.4722,294.31,99,100,1.98,LR,1693776503
122,maneadero,31.7167,-116.5667,295.43,78,31,1.79,MX,1693776503
123,catamarca,-28.4696,-65.7852,292.82,31,35,0.89,AR,1693776394
124,waitara,-38.925,174.25,284.26,72,100,5.77,NZ,1693776503
125,nadigaon,26.1167,79.0333,302.85,47,2,2.55,IN,1693776504
126,banda aceh,5.5577,95.3222,298.48,90,100,5.52,ID,1693776504
127,sayyan,15.1718,44.3244,293.17,36,1,0.67,YE,1693776504
128,chulman,56.8479,124.9104,275.45,69,100,0.69,RU,1693776504
129,muli,2.9167,73.5667,301.0,65,100,4.54,MV,1693776505
130,saint george,37.1041,-113.5841,305.05,43,0,3.6,US,1693775913
131,le port,-20.9373,55.2919,294.13,85,4,3.45,RE,1693776505
132,awjilah,29.1081,21.2869,299.33,50,0,6.01,LY,1693776506
133,puerto ayora,-0.7393,-90.3518,305.13,91,44,4.47,EC,1693776216
134,tuatapere,-46.1333,167.6833,281.77,88,83,1.55,NZ,1693775955
135,aklavik,68.2191,-135.0107,279.96,71,71,5.96,CA,1693775936
136,bria,6.5423,21.9863,294.71,96,81,1.68,CF,1693776507
137,tonshayevo,57.736,47.0127,286.52,73,47,1.01,RU,1693776507
138,high level,58.5169,-117.136,285.21,71,100,4.63,CA,1693776001
139,dese,11.1333,39.6333,286.28,91,91,1.06,ET,1693776507
140,roald,62.5833,6.1333,289.68,94,75,8.75,NO,1693776507
141,rawson,-43.3002,-65.1023,281.54,48,62,7.28,AR,1693775971
142,mahebourg,-20.4081,57.7,296.07,78,75,4.12,MU,1693775915
143,soe,-9.8607,124.284,286.94,90,17,1.9,ID,1693776396
144,goure,13.9835,10.2704,306.1,37,58,1.94,NE,1693776508
145,sur,22.5667,59.5289,300.65,73,20,6.64,OM,1693775921
146,knysna,-34.0363,23.0471,284.58,88,61,1.34,ZA,1693776508
147,srivardhan,18.0333,73.0167,299.48,83,94,3.45,IN,1693776508
148,propria,-10.2111,-36.8403,295.23,81,0,2.97,BR,1693776509
149,avarua,-21.2078,-159.775,297.18,57,76,2.57,CK,1693775917
150,provideniya,64.3833,-173.3,281.21,49,20,8.05,RU,1693775916
151,salalah,17.0151,54.0924,301.2,89,75,3.09,OM,1693776359
152,mto wa mbu,-3.35,35.85,294.0,67,2,3.25,TZ,1693776509
153,komsomolskiy,40.4272,71.7189,297.55,25,100,0.0,UZ,1693775936
154,ryotsu,38.0833,138.4333,300.2,79,100,3.97,JP,1693776510
155,saint-louis,16.3333,-15.0,306.95,54,98,7.8,SN,1693776510
156,mount gambier,-37.8333,140.7667,289.18,36,100,6.06,AU,1693776510
157,natal,-5.795,-35.2094,297.27,94,75,4.63,BR,1693776223
158,umm lajj,25.0213,37.2685,305.3,50,11,3.38,SA,1693775935
159,tuktoyaktuk,69.4541,-133.0374,276.15,87,100,4.12,CA,1693776510
160,iwanai,42.9744,140.5089,291.46,83,97,2.35,JP,1693776350
161,cap malheureux,-19.9842,57.6142,296.19,69,50,2.68,MU,1693776412
162,zhezkazgan,47.8043,67.7144,286.74,70,94,8.3,KZ,1693776511
163,luderitz,-26.6481,15.1594,285.84,71,0,6.64,NA,1693775935
164,anadyr,64.75,177.4833,280.43,56,0,5.0,RU,1693775944
165,nouadhibou,20.931,-17.0347,299.14,61,25,6.69,MR,1693775947
166,eyl,7.9803,49.8164,298.11,79,7,11.36,SO,1693776412
167,milove,49.3787,40.1302,295.27,40,100,3.93,UA,1693776512
168,port lincoln,-34.7333,135.8667,285.26,64,64,10.11,AU,1693776008
169,tiksi,71.6872,128.8694,273.08,96,100,2.86,RU,1693776512
170,ponta do sol,32.6667,-17.1,296.32,74,12,2.59,PT,1693775986
171,esperance,-33.8667,121.9,282.06,69,18,8.85,AU,1693776246
172,dikson,73.5069,80.5464,276.76,96,100,1.34,RU,1693776512
173,clearlake,38.9582,-122.6264,299.03,47,35,0.94,US,1693776513
174,marsh harbour,26.5412,-77.0636,301.13,67,5,7.76,BS,1693776513
175,sioux lookout,50.1001,-91.917,299.19,47,75,1.54,CA,1693775981
176,kalundborg,55.6795,11.0886,291.45,86,97,7.5,DK,1693776513
177,iisaku,59.1014,27.3081,285.43,90,3,0.87,EE,1693776513
178,belmonte,-15.8631,-38.8828,296.29,76,94,2.86,BR,1693776514
179,robe,-37.1833,139.75,287.21,86,100,9.85,AU,1693776515
180,khokhryaki,56.9156,53.3221,284.85,88,9,0.84,RU,1693776515
181,arraial do cabo,-22.9661,-42.0278,296.13,83,20,8.75,BR,1693776515
182,zharkent,44.1628,80.0,292.83,58,100,1.14,KZ,1693776515
183,sitka,57.0531,-135.33,286.09,94,100,1.54,US,1693775935
184,ambovombe,-25.1667,46.0833,293.28,79,0,3.05,MG,1693776516
185,khash,28.2211,61.2158,297.19,12,0,2.41,IR,1693776516
186,notodden,59.5594,9.2585,290.37,91,83,1.8,NO,1693776516
187,umba,66.6871,34.3429,284.25,97,6,2.78,RU,1693776516
188,los chiles,11.0333,-84.7167,303.63,67,81,0.14,CR,1693776517
189,coihaique,-45.5752,-72.0662,277.12,65,40,3.09,CL,1693775969
190,barabash,43.2,131.4833,289.22,95,77,1.15,RU,1693776517
191,guanare,9.0418,-69.7421,301.88,76,100,1.74,VE,1693776517
192,zhanjiang,21.2815,110.3427,297.68,93,97,1.88,CN,1693776517
193,cabo san lucas,22.8909,-109.9124,309.05,66,20,4.63,MX,1693776314
194,sri aman,1.2376,111.4621,297.18,94,38,0.0,MY,1693776518
195,tasiilaq,65.6145,-37.6368,280.24,89,65,1.02,GL,1693776335
196,port blair,11.6667,92.75,298.17,88,100,5.14,IN,1693776518
197,bandarbeyla,9.4942,50.8122,298.11,85,8,12.83,SO,1693776361
198,chalmette,29.9427,-89.9634,307.04,62,0,4.12,US,1693776518
199,korla,41.7597,86.1469,300.32,23,97,6.26,CN,1693776359
200,ayan,56.45,138.1667,283.61,60,0,4.91,RU,1693776519
201,kurchum,48.5722,83.6542,292.31,34,100,2.94,KZ,1693776519
202,qaanaaq,77.484,-69.3632,272.23,67,88,3.07,GL,1693776519
203,torbay,47.6666,-52.7314,293.47,75,40,5.66,CA,1693776408
204,hovd,48.0056,91.6419,288.93,29,11,2.04,MN,1693776519
205,san cristobal,7.7669,-72.225,303.25,52,73,2.69,VE,1693775947
206,bereda,43.2686,-7.5406,292.82,98,100,0.99,ES,1693776399
207,folldal,62.1325,9.9968,281.48,90,96,2.57,NO,1693776520
