City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,touros,-5.1989,-35.4608,299.73,81,19,4.75,BR,1684103654
84,ribeira grande,38.5167,-28.7,291.91,89,100,3.13,PT,1684103858
85,platonovka,52.7106,41.952,280.94,94,14,3.38,RU,1684103858
86,ranot,7.7777,100.3213,300.75,77,21,2.91,TH,1684103858
87,jamestown,42.097,-79.2353,288.92,44,0,5.14,US,1684103729
88,buraydah,26.326,43.975,300.4,11,100,4.86,SA,1684103858
89,avarua,-21.2078,-159.775,300.18,74,40,3.09,CK,1684103859
90,paamiut,61.994,-49.6678,273.36,83,11,4.9,GL,1684103860
91,mount pleasant,32.7941,-79.8626,300.47,84,40,4.12,US,1684103763
92,nemuro,43.3236,145.575,281.09,90,100,7.79,JP,1684103860
93,kahului,20.8947,-156.47,300.16,68,75,6.17,US,1684103860
94,fortuna,40.5982,-124.1573,300.89,67,40,5.66,US,1684103860
95,east london,-33.0153,27.9116,289.88,69,100,4.4,ZA,1684103860
96,hilo,19.7297,-155.09,302.75,75,75,3.09,US,1684103861
97,ipora,-16.4419,-51.1178,292.59,58,67,2.03,BR,1684103861
98,kruisfontein,-34.0033,24.7314,284.75,80,75,1.56,ZA,1684103861
99,hervey bay,-25.2986,152.8535,294.73,79,71,5.89,AU,1684103861
100,madang,-5.2246,145.7966,298.05,95,100,1.6,PG,1684103861
101,channel-port aux basques,47.5702,-59.1367,277.66,94,100,9.03,CA,1684103861
102,lavrentiya,65.5833,-171.0,272.26,95,100,1.03,RU,1684103862
103,bredasdorp,-34.5322,20.0403,285.7,69,64,1.91,ZA,1684103862
104,port blair,11.6667,92.75,301.96,79,100,6.24,IN,1684103862
105,naze,28.3667,129.4833,293.66,73,100,2.69,JP,1684103862
106,banyo,6.75,11.8167,293.46,85,100,1.11,CM,1684103862
107,iqaluit,63.7506,-68.5145,271.0,92,100,4.02,CA,1684103862
108,pevek,69.7008,170.3133,264.09,85,99,2.15,RU,1684103863
109,korla,41.7597,86.1469,293.15,34,95,3.15,CN,1684103863
110,nikolskoye,59.7035,30.7861,284.09,62,95,1.38,RU,1684103863
111,saint-philippe,-21.3585,55.7679,296.92,79,15,1.56,RE,1684103863
112,dargaville,-35.9333,173.8833,289.63,79,25,4.55,NZ,1684103864
113,beloha,-25.1667,45.05,293.39,97,15,2.8,MG,1684103864
114,virginia beach,36.8529,-75.978,295.18,51,40,4.12,US,1684103864
115,naron,43.5167,-8.1528,287.92,92,91,1.83,ES,1684103864
116,shambu,9.5667,37.1,288.53,59,87,0.86,ET,1684103864
117,buritizeiro,-17.3511,-44.9622,295.65,46,0,2.14,BR,1684103658
118,lilongwe,-13.9669,33.7873,290.23,68,35,1.23,MW,1684103865
119,clyde river,70.4692,-68.5914,266.28,93,100,5.66,CA,1684103865
120,acheres,48.9612,2.0688,287.2,89,0,3.6,FR,1684103865
121,colares,38.7992,-9.4469,289.68,79,45,11.62,PT,1684103865
122,northam,51.0333,-4.2167,284.96,97,100,7.03,GB,1684103866
123,denpasar,-8.65,115.2167,298.96,78,40,4.63,ID,1684103736
124,moron,-34.6534,-58.6198,295.35,61,75,1.7,AR,1684103866
125,zhuhai,22.2769,113.5678,295.03,88,40,2.57,CN,1684103596
126,ponta do sol,32.6667,-17.1,292.6,65,12,4.0,PT,1684103866
127,fortuna foothills,32.6578,-114.4119,311.79,12,0,4.12,US,1684103866
128,hobart,-42.8794,147.3294,287.74,57,41,0.89,AU,1684103867
129,hamilton,39.1834,-84.5333,299.26,52,20,3.6,US,1684103867
130,tiksi,71.6872,128.8694,265.03,73,15,1.39,RU,1684103867
131,kaitangata,-46.2817,169.8464,281.44,98,57,2.32,NZ,1684103867
132,neryungri,56.6709,124.6491,274.36,98,100,3.71,RU,1684103867
133,bubaque,11.2833,-15.8333,299.69,73,92,7.97,GW,1684103868
134,nelson bay,-32.7167,152.15,288.71,99,10,3.13,AU,1684103868
135,arraial do cabo,-22.9661,-42.0278,295.07,78,0,3.09,BR,1684103869
136,nesna,66.1967,13.0213,286.3,65,49,2.9,NO,1684103869
137,kapaa,22.0752,-159.319,301.14,73,100,8.75,US,1684103649
138,saint-augustin,51.226,-58.6502,277.97,72,100,7.69,CA,1684103870
139,ambon,-3.6954,128.1814,300.23,14,40,4.12,ID,1684103870
140,dandong,40.1292,124.3947,288.83,73,23,3.86,CN,1684103870
141,acapulco,16.8634,-99.8901,304.05,66,20,4.12,MX,1684103818
142,asau,46.4333,26.4,284.66,80,99,0.54,RO,1684103870
143,wanning,18.8003,110.3967,296.58,92,56,1.81,CN,1684103870
144,tungor,53.3808,142.9564,285.15,72,46,4.83,RU,1684103871
145,mount gambier,-37.8333,140.7667,284.22,65,0,2.38,AU,1684103781
146,usinsk,65.9939,57.5281,275.64,93,100,6.78,RU,1684103871
147,haradok,55.4624,29.9816,283.41,78,25,1.56,BY,1684103871
148,bilibino,68.0546,166.4372,266.02,80,30,1.54,RU,1684103871
149,jalu,29.0331,21.5482,298.82,22,66,5.18,LY,1684103871
